split,seed,score_source,decision,budget,n_events,detected_events,event_onset_recall,false_alarm_events,normal_hours,false_alarms_per_hour,avg_detection_time_s,max_detection_time_s
split_00,0,existing_fusion,threshold,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,existing_fusion,k_of_n,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,existing_fusion,cusum,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,existing_fusion,threshold,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,existing_fusion,k_of_n,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,existing_fusion,cusum,advisory,307,1,0.003257328990228013,0,0.3250062022222222,0.0,269.19536999999997,269.19536999999997
split_00,0,ml9_fusion,threshold,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,ml9_fusion,k_of_n,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,ml9_fusion,cusum,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,ml9_fusion,threshold,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,ml9_fusion,k_of_n,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,ml9_fusion,cusum,advisory,307,1,0.003257328990228013,0,0.3250062022222222,0.0,269.19536999999997,269.19536999999997
split_00,0,itki_komutu,threshold,critical,307,203,0.6612377850162866,0,0.3250062022222222,0.0,58.06019451724137,172.004719
split_00,0,itki_komutu,k_of_n,critical,307,148,0.4820846905537459,0,0.3250062022222222,0.0,61.03455632432433,165.00514400000003
split_00,0,itki_komutu,cusum,critical,307,176,0.5732899022801303,0,0.3250062022222222,0.0,64.6394480340909,202.193616
split_00,0,itki_komutu,threshold,advisory,307,234,0.762214983713355,5,0.3250062022222222,15.38432179389999,39.892473987179486,172.004719
split_00,0,itki_komutu,k_of_n,advisory,307,148,0.4820846905537459,0,0.3250062022222222,0.0,61.03455632432433,165.00514400000003
split_00,0,itki_komutu,cusum,advisory,307,256,0.8338762214983714,8,0.3250062022222222,24.614914870239982,67.16672799609375,163.999398
split_00,0,rfly0_fusion,threshold,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,rfly0_fusion,k_of_n,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,rfly0_fusion,cusum,critical,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,rfly0_fusion,threshold,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,rfly0_fusion,k_of_n,advisory,307,0,0.0,0,0.3250062022222222,0.0,,
split_00,0,rfly0_fusion,cusum,advisory,307,1,0.003257328990228013,0,0.3250062022222222,0.0,269.19536999999997,269.19536999999997
